Title,Description,Address,Price,Beds,Baths,Toilets,Date_Info
Newly Renovated Room And Parlour Shortlet Apartment,1 BEDROOM MINI FLAT For Rent,11 Obamusa Agungi Lekki Lagos Agungi Lekki Lagos,"₦3,200,000/month",1,1,1,"Updated 21 Jun 2026, Added 10 Jun 2026"
Unfurnished 3 Bedroom Apartment And A Bq,3 BEDROOM BLOCK OF FLATS FOR RENT,Fatai Arobieke Street Lekki Phase 1 Lekki Lagos,"₦23,000,000",3,3,4,Updated Today
2 Bedroom Flat,2 BEDROOM MINI FLAT FOR RENT,Mutual Estate Eputu Ibeju Lekki Lagos,"₦2,500,000",2,3,3,Updated Today
1234 Sqm Of Land With Building On It In Central Lekki Phase One,MIXED USE LAND FOR RENT,Off Admiralty Way Lekki Phase 1 Lekki Lagos,"₦100,000,000",,,,Updated Today
Fully Furnished 4 Bedrooms Fully Detached Duplex In Orchid,4 BEDROOM DUPLEX FOR RENT,Orchid Lekki Lekki Phase 2 Lekki Lagos,"₦13,000,000",4,4,5,Updated Today
Self Compound 3 Bedrooms Semi Detached In Chevron Lekki,3 BEDROOM SEMI DETACHED DUPLEX FOR RENT,Chevron Lekki Chevron Drive Lekki Lagos,"₦9,000,000",3,3,4,Updated Today
Fully Furnished Luxury 2 Bedroom Apartment In Ologolo Lekki,2 BEDROOM BLOCK OF FLATS FOR RENT,Ologolo Lekki Ologolo Lekki Lagos,"₦8,000,000",2,2,3,Updated Today
Luxury 5 Bedrooms Fully Detached Duplex In Chevron Lekki,5 BEDROOM DUPLEX FOR RENT,Chevron Drive Lekki Phase 1 Lekki Lagos,"₦15,000,000",5,5,6,Updated Today
"4 Bedroom Duplex With Bq, Inverter And Tv Console",4 BEDROOM DUPLEX FOR RENT,Chevron Lekki Chevron Drive Lekki Lagos,"₦12,000,000",4,4,5,Updated Today
Brand New 4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM SEMI DETACHED DUPLEX FOR RENT,Chevron Lekki Phase One Chevron Drive Lekki Lagos,"₦15,000,000",4,4,5,Updated Today
Fairmont Green & Smart Estate,RESIDENTIAL LAND For Sale,With Cofo Ibeju Lekki Lagos,"₦30,000,000",,,,"Updated 22 Jun 2026, Added 09 Jun 2025"
5 Bedrooms Semi Detached With Pool In Ikoyi,5 BEDROOM DUPLEX FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,"₦35,000,000",5,5,6,Updated Today
Exquisite Semi Master Bedroom Shared Apartment,1 BEDROOM SHARED APARTMENT FOR RENT,Orchid Lekki Lagos,"₦1,900,000/year",1,1,1,Updated Today
Luxury 5 Bedroom Fully Detached Duplex In Ikate Lekki,5 BEDROOM DUPLEX FOR RENT,Off Freedom Way Lekki Phase 1 Lekki Lagos,"₦25,000,000",5,5,6,Updated Today
10 Bedrooms Commercial Duplex For Lease In Ikoyi,10 BEDROOM OFFICE FOR RENT,South West Ikoyi Ikoyi South West Ikoyi Lagos,"₦55,000,000",10,10,10,Updated Today
3 Bedrooms Apartment With Bq In Lekki,3 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase One Lekki Phase 1 Lekki Lagos,"₦13,000,000",3,3,4,Updated Today
3 Bedrooms Terrace Duplex In Ikota,3 BEDROOM TERRACE FOR RENT,Ikota Lekki Ikota Lekki Lagos,"₦6,500,000",3,3,4,Updated Today
1 Bedroom Shared Apartment In Ilasan Ikate Lekki,1 BEDROOM SHARED APARTMENT FOR RENT,Ilasan Ikate Lekki Ilasan Lekki Lagos,"₦2,000,000",1,1,1,Updated Today
Luxury 5 Bedrooms Fully Detached Duplex In Ologolo,5 BEDROOM DUPLEX FOR RENT,Ologolo Lekki Ologolo Lekki Lagos,"₦25,000,000",5,5,6,Updated Today
Brand New 2 Bedrooms Terrace In Orchid Road After Round About,2 BEDROOM TERRACE FOR RENT,Orchid Road After Round About Lekki Phase 2 Lekki Lagos,"₦4,000,000",2,2,3,Updated Today
Luxury 4 Bedroom Terrace Duplex Off Freedom Way Lekki Phase One,4 BEDROOM TERRACE FOR RENT,Freedom Way Lekki Phase One Lekki Phase 1 Lekki Lagos,"₦23,000,000",4,4,5,Updated Today
Fully Furnished 5 Bedrooms Fully Detached Duplex In Onikoyi Banana Island,5 BEDROOM DUPLEX FOR RENT,Banana Island Road Banana Island Ikoyi Lagos,"₦65,000,000",5,5,6,Updated Today
Luxury 5 Bedroom Fully Detached House +2bq+pool +garage Etc X Multiple Years,5 BEDROOM DETACHED DUPLEX For Rent,Parkview Estate Ikoyi Lagos,"₦52,000,000",5,5,6,"Updated 21 Jun 2026, Added 26 Apr 2026"
3 Bedroom Terrace For Rent,3 BEDROOM TERRACED DUPLEX FOR RENT,Ajah Ajah Lagos,"₦5,000,000",3,3,4,Updated Today
Unfurnished 3 Bedroom Apartment And A Bq,3 BEDROOM BLOCK OF FLATS FOR RENT,Fatai Arobieke Street Lekki Phase 1 Lekki Lagos,"₦23,000,000",3,3,4,Updated Today
2 Bedroom Flat,2 BEDROOM MINI FLAT FOR RENT,Mutual Estate Eputu Ibeju Lekki Lagos,"₦2,500,000",2,3,3,Updated Today
1234 Sqm Of Land With Building On It In Central Lekki Phase One,MIXED USE LAND FOR RENT,Off Admiralty Way Lekki Phase 1 Lekki Lagos,"₦100,000,000",,,,Updated Today
Fully Furnished 4 Bedrooms Fully Detached Duplex In Orchid,4 BEDROOM DUPLEX FOR RENT,Orchid Lekki Lekki Phase 2 Lekki Lagos,"₦13,000,000",4,4,5,Updated Today
Self Compound 3 Bedrooms Semi Detached In Chevron Lekki,3 BEDROOM SEMI DETACHED DUPLEX FOR RENT,Chevron Lekki Chevron Drive Lekki Lagos,"₦9,000,000",3,3,4,Updated Today
Fully Furnished Luxury 2 Bedroom Apartment In Ologolo Lekki,2 BEDROOM BLOCK OF FLATS FOR RENT,Ologolo Lekki Ologolo Lekki Lagos,"₦8,000,000",2,2,3,Updated Today
Luxury 5 Bedrooms Fully Detached Duplex In Chevron Lekki,5 BEDROOM DUPLEX FOR RENT,Chevron Drive Lekki Phase 1 Lekki Lagos,"₦15,000,000",5,5,6,Updated Today
"4 Bedroom Duplex With Bq, Inverter And Tv Console",4 BEDROOM DUPLEX FOR RENT,Chevron Lekki Chevron Drive Lekki Lagos,"₦12,000,000",4,4,5,Updated Today
