Title,Address,Property Type,Location,State,Bedrooms,Bathrooms,Toilets,Date Listed,Prices
Newly Renovated Room And Parlour Shortlet Apartment,11 Obamusa Agungi Lekki Lagos Agungi Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,1.0,2026-06-10,3200000
Unfurnished 3 Bedroom Apartment And A Bq,Fatai Arobieke Street Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-06-23,23000000
2 Bedroom Flat,Mutual Estate Eputu Ibeju Lekki Lagos,Mini Flat,Ibeju Lekki,Lagos,2,3,3.0,2026-06-23,2500000
1234 Sqm Of Land With Building On It In Central Lekki Phase One,Off Admiralty Way Lekki Phase 1 Lekki Lagos,Land,Lekki,Lagos,0,0,0.0,2026-06-23,100000000
Fully Furnished 4 Bedrooms Fully Detached Duplex In Orchid,Orchid Lekki Lekki Phase 2 Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-06-23,13000000
Self Compound 3 Bedrooms Semi Detached In Chevron Lekki,Chevron Lekki Chevron Drive Lekki Lagos,Terraced Duplex,Lekki,Lagos,3,3,4.0,2026-06-23,9000000
Fully Furnished Luxury 2 Bedroom Apartment In Ologolo Lekki,Ologolo Lekki Ologolo Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-06-23,8000000
Luxury 5 Bedrooms Fully Detached Duplex In Chevron Lekki,Chevron Drive Lekki Phase 1 Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2026-06-23,15000000
"4 Bedroom Duplex With Bq, Inverter And Tv Console",Chevron Lekki Chevron Drive Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-06-23,12000000
Brand New 4 Bedroom Semi Detached Duplex With Bq,Chevron Lekki Phase One Chevron Drive Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-06-23,15000000
5 Bedrooms Semi Detached With Pool In Ikoyi,Ikoyi Ikoyi Ikoyi Lagos,Terraced Duplex,Ikoyi,Lagos,5,5,6.0,2026-06-23,35000000
Exquisite Semi Master Bedroom Shared Apartment,Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-06-23,1900000
Luxury 5 Bedroom Fully Detached Duplex In Ikate Lekki,Off Freedom Way Lekki Phase 1 Lekki Lagos,Terraced Duplex,Lekki,Edo,5,5,6.0,2026-06-23,25000000
10 Bedrooms Commercial Duplex For Lease In Ikoyi,South West Ikoyi Ikoyi South West Ikoyi Lagos,Commercial Property,Ikoyi,Lagos,10,10,10.0,2026-06-23,55000000
3 Bedrooms Apartment With Bq In Lekki,Lekki Phase One Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-06-23,13000000
3 Bedrooms Terrace Duplex In Ikota,Ikota Lekki Ikota Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,3,3,4.0,2026-06-23,6500000
1 Bedroom Shared Apartment In Ilasan Ikate Lekki,Ilasan Ikate Lekki Ilasan Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-06-23,2000000
Luxury 5 Bedrooms Fully Detached Duplex In Ologolo,Ologolo Lekki Ologolo Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2026-06-23,25000000
Brand New 2 Bedrooms Terrace In Orchid Road After Round About,Orchid Road After Round About Lekki Phase 2 Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,2,2,3.0,2026-06-23,4000000
Luxury 4 Bedroom Terrace Duplex Off Freedom Way Lekki Phase One,Freedom Way Lekki Phase One Lekki Phase 1 Lekki Lagos,Self Contain / Shared Room,Lekki,Edo,4,4,5.0,2026-06-23,23000000
Fully Furnished 5 Bedrooms Fully Detached Duplex In Onikoyi Banana Island,Banana Island Road Banana Island Ikoyi Lagos,Terraced Duplex,Ikoyi,Lagos,5,5,6.0,2026-06-23,65000000
Luxury 5 Bedroom Fully Detached House +2bq+pool +garage Etc X Multiple Years,Parkview Estate Ikoyi Lagos,Terraced Duplex,Ikoyi,Lagos,5,5,6.0,2026-04-26,52000000
3 Bedroom Terrace For Rent,Ajah Ajah Lagos,Self Contain / Shared Room,Ajah,Lagos,3,3,4.0,2026-06-23,5000000
Luxury 4 Bedroom Apartment On 2 Floors +bq+pool+gym In Banana Island Estate,Banana Island Estate Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,4,4,5.0,2026-04-24,45000000
Tastefully Furnished 2 Bedroom Waterfront Apartment,Admiralty Road Lekki Phase 1 Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-06-08,25000000
4 Bedrooms Terrace Duplex In Ikate Lekki,Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,4,4,5.0,2026-06-23,15000000
Brand New 4 Bedroom Fully Detached Duplex In Ikota Lekki,Ikota Lekki Phase One Ikota Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-06-23,17000000
2 Bedroom Apartment For In Ikate Lekki,Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-06-23,12000000
Luxury 4bedroom Fully Detached Duplex For Sale In Chevron,Chevron Lekki Chevron Drive Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-06-23,10000000
Fully Furnished And Serviced 5 Bedrooms Duplex On Banana Island Road,Banana Island Road Ikoyi Ikoyi Ikoyi Lagos,Terraced Duplex,Ikoyi,Lagos,5,5,6.0,2026-06-23,65000000
Luxury 4 Bedrooms Semi Detached House In Orchid,Orchid Road Lekki Lekki Phase 2 Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-06-23,8000000
