Title,Description,Address,Price,Feature,Date_Info
Lovely Newly Renovated 2 Bedroom Flat,Lovely Newly Renovated 2 Bedroom Flat/Flat / Apartment FOR RENT,"Miracle Avenue, Opposite Wisebuyer Mall. Magboro Obafemi Owode Ogun","₦ 1,500,000/year",2 Beds 1 Baths,"Updated 22 Jun 2026, Added 22 Jun 2026"
Ultra Luxury 3 Bedroom Apartment Bq Pool Gym,Ultra Luxury 3 Bedroom Apartment Bq Pool Gym/Flat Apartment FOR Rent,Old Ikoyi Old Ikoyi Ikoyi Lagos,"₦ 54,000,000",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 19 Jun 2026"
Mini Flat,Mini Flat/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Lagos,"₦ 5,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 07 Mar 2026"
Apartment,Apartment/Flat Apartment FOR Rent,Agungi Lekki Lagos,"₦ 1,500,000/year",1 Baths,"Updated 23 Jun 2026, Added 16 Apr 2026"
Self Serviced Studio Apartment,Self Serviced Studio Apartment/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Lagos,"₦ 2,000,000/year",1 Baths,"Updated 23 Jun 2026, Added 30 Apr 2026"
Apartment,Apartment/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Lagos,"₦ 3,000,000/year",1 Baths,"Updated 23 Jun 2026, Added 18 May 2026"
Newly Renovated Mini Flat,Newly Renovated Mini Flat/Flat Apartment FOR Rent,Ikota Lekki Lagos,"₦ 5,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 26 May 2026"
Mini Flat Upstairs,Mini Flat Upstairs/Flat Apartment FOR Rent,Lekki Lagos,"₦ 5,500,000/year",,"Updated 23 Jun 2026, Added 12 Jun 2026"
Semi Furnished Well Built 2 Bedroom Apartment,Semi Furnished Well Built 2 Bedroom Apartment/Flat Apartment FOR Rent,Ikota Lekki Lagos,"₦ 65,000,000/year",2 Beds 3 Baths,"Updated 23 Jun 2026, Added 16 Jun 2026"
Luxury 4 Bedroom Fully Furnished,Luxury 4 Bedroom Fully Furnished/Flat Apartment FOR Rent,Lekki Lagos,"₦ 12,000,000/year",4 Beds 4 Baths,"Updated 23 Jun 2026, Added 12 Jun 2026"
2 Bedroom Waterfront Apartment,2 Bedroom Waterfront Apartment/Flat / Apartment FOR SALE,Osborne Foreshore Estate Ikoyi Lagos,"₦ 415,000,000",2 Beds 2 Baths,"Updated 21 Jun 2026, Added 02 Oct 2025"
Spacious 2 Bedroom Flat Apartment,Spacious 2 Bedroom Flat Apartment/Flat Apartment FOR Rent,Lekki Lagos,"₦ 4,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 02 Jun 2026"
