Title,Address,Property Type,Location,State,Bedrooms,Bathrooms,Date Listed,Prices
Lovely Newly Renovated 2 Bedroom Flat,"Miracle Avenue, Opposite Wisebuyer Mall. Magboro Obafemi Owode Ogun",Detached / Semi-Detached Duplex,Owode,Ogun,2,1,2026-06-22,1500000
Ultra Luxury 3 Bedroom Apartment Bq Pool Gym,Old Ikoyi Old Ikoyi Ikoyi Lagos,Luxury Apartment,Ikoyi,Lagos,3,3,2026-06-19,54000000
Mini Flat,Lekki Phase 1 Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2026-03-07,5000000
Apartment,Agungi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,0,2026-04-16,1500000
Self Serviced Studio Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,0,2026-04-30,2000000
Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,0,2026-05-18,3000000
Newly Renovated Mini Flat,Ikota Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2026-05-26,5000000
Mini Flat Upstairs,Lekki Lagos,Mini Flat,Lekki,Lagos,0,0,2026-06-12,5500000
Semi Furnished Well Built 2 Bedroom Apartment,Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,3,2026-06-16,65000000
Luxury 4 Bedroom Fully Furnished,Lekki Lagos,Luxury Apartment,Lekki,Lagos,4,4,2026-06-12,12000000
Spacious 2 Bedroom Flat Apartment,Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-02,4000000
4 Bedroom Apartment,Eko Atlantic City Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,4,4,2026-05-19,98418240
Self Contain Upstairs,Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-06-12,2500000
Fully Furnished 2 Bedroom Apartment,Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-16,10000000
Premium 3 Bedroom Apartments (2 Units Available),Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,2,2,2026-06-16,27000000
2 Bedroom Apartment,Vgc Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,3,2026-05-20,6000000
